Car_Number,Arrive,Depart,Wait,Direction
3,0,0,0,E
4,0,0,0,W
1,0,60,60,N
2,0,60,60,S
5,98,106,8,W
6,122,122,0,E
7,183,184,1,N
9,201,202,1,S
8,196,210,14,W
10,244,244,0,E
11,294,316,22,W
13,366,366,0,E
12,366,376,10,N
15,402,402,0,S
14,392,420,28,W
16,488,526,38,E
17,490,526,36,W
18,549,586,37,N
20,603,604,1,S
21,610,630,20,E
19,588,630,42,W
22,686,686,0,W
23,732,732,0,N
24,732,736,4,E
25,784,784,0,W
26,804,804,0,S
27,854,854,0,E
28,882,882,0,W
29,915,916,1,N
30,976,976,0,E
31,980,980,0,W
32,1005,1006,1,S
33,1078,1078,0,W
35,1098,1098,0,E
34,1098,1110,12,N
36,1176,1176,0,W
37,1206,1216,10,S
38,1220,1260,40,E
39,1274,1274,0,W
40,1281,1320,39,N
41,1342,1366,24,E
42,1372,1372,0,W
43,1407,1426,19,S
44,1464,1464,0,N
45,1464,1470,6,E
46,1470,1470,0,W
47,1568,1576,8,W
48,1586,1586,0,E
49,1608,1636,28,S
50,1647,1648,1,N
51,1666,1680,14,W
52,1708,1708,0,E
53,1764,1786,22,W
56,1830,1830,0,E
55,1830,1846,16,N
54,1809,1846,37,S
57,1862,1890,28,W
58,1952,1996,44,E
59,1960,1996,36,W
61,2013,2056,43,N
60,2010,2056,46,S
63,2074,2100,26,E
62,2058,2100,42,W
64,2156,2156,0,W
65,2196,2196,0,N
66,2196,2206,10,E
68,2254,2254,0,W
67,2211,2266,55,S
69,2318,2318,0,E
70,2352,2352,0,W
71,2379,2380,1,N
72,2412,2412,0,S
73,2440,2440,0,E
74,2450,2450,0,W
75,2548,2548,0,W
77,2562,2562,0,E
76,2562,2580,18,N
78,2613,2614,1,S
79,2646,2646,0,W
80,2684,2684,0,E
81,2744,2744,0,W
82,2745,2790,45,N
84,2814,2814,0,S
83,2806,2836,30,E
85,2842,2842,0,W
86,2928,2928,0,N
87,2928,2940,12,E
88,2940,2940,0,W
89,3015,3016,1,S
90,3038,3046,8,W
91,3050,3050,0,E
92,3111,3112,1,N
93,3136,3150,14,W
94,3172,3172,0,E
95,3216,3216,0,S
96,3234,3256,22,W
98,3294,3294,0,E
97,3294,3316,22,N
99,3332,3360,28,W
100,3416,3416,0,E
101,3417,3420,3,S
102,3430,3466,36,W
103,3477,3526,49,N
105,3538,3570,32,E
104,3528,3570,42,W
107,3626,3626,0,W
106,3618,3630,12,S
108,3660,3660,0,N
109,3660,3676,16,E
110,3779,3780,1,W
111,3850,3886,36,E
113,3932,3932,0,W
114,3945,3946,1,N
112,3930,3946,16,S
115,4040,4040,0,E
116,4085,4096,11,W
118,4230,4230,0,E
119,4238,4238,0,W
117,4230,4260,30,N
120,4242,4260,18,S
121,4391,4410,19,W
122,4420,4420,0,E
124,4544,4544,0,W
123,4515,4576,61,N
125,4554,4576,22,S
126,4610,4620,10,E
127,4697,4726,29,W
128,4800,4800,0,N
129,4800,4830,30,E
130,4850,4850,0,W
131,4866,4890,24,S
132,4990,4990,0,E
133,5003,5040,37,W
134,5085,5100,15,N
135,5156,5156,0,W
137,5180,5180,0,E
136,5178,5206,28,S
138,5309,5356,47,W
140,5370,5370,0,E
139,5370,5416,46,N
141,5462,5462,0,W
142,5490,5520,30,S
143,5560,5566,6,E
144,5615,5616,1,W
145,5655,5656,1,N
146,5750,5776,26,E
147,5768,5776,8,W
148,5802,5836,34,S
149,5921,5922,1,W
150,5940,5940,0,N
151,5940,5986,46,E
152,6074,6090,16,W
154,6130,6130,0,E
153,6114,6150,36,S
156,6227,6228,1,W
155,6225,6256,31,N
157,6320,6320,0,E
158,6380,6406,26,W
159,6426,6466,40,S
161,6510,6510,0,E
162,6533,6534,1,W
160,6510,6570,60,N
164,6700,6720,20,E
163,6686,6720,34,W
165,6738,6780,42,S
166,6795,6796,1,N
167,6839,6840,1,W
168,6890,6930,40,E
169,6992,7036,44,W
172,7080,7080,0,E
171,7080,7096,16,N
170,7050,7096,46,S
173,7145,7146,1,W
174,7270,7270,0,E
175,7298,7298,0,W
177,7365,7410,45,N
176,7362,7410,48,S
178,7467,7468,1,W
179,7481,7482,1,E
180,7636,7666,30,W
182,7692,7692,0,E
181,7680,7726,46,N
183,7708,7726,18,S
184,7805,7806,1,W
185,7903,7904,1,E
186,7974,7980,6,W
187,7995,8040,45,N
188,8054,8054,0,S
189,8114,8114,0,E
190,8143,8144,1,W
192,8312,8312,0,W
193,8325,8326,1,E
191,8310,8356,46,N
194,8400,8460,60,S
195,8481,8506,25,W
196,8536,8536,0,E
198,8650,8650,0,W
197,8625,8670,45,N
200,8747,8748,1,E
199,8746,8776,30,S
201,8819,8820,1,W
203,8958,8958,0,E
202,8940,8986,46,N
204,8988,9030,42,W
205,9092,9092,0,S
206,9157,9158,1,W
207,9169,9170,1,E
208,9255,9300,45,N
209,9326,9346,20,W
210,9380,9380,0,E
211,9438,9438,0,S
212,9495,9496,1,W
214,9591,9592,1,E
213,9570,9616,46,N
215,9664,9664,0,W
217,9802,9802,0,E
216,9784,9826,42,S
218,9833,9870,37,W
219,9885,9930,45,N
220,10002,10002,0,W
221,10013,10014,1,E
222,10130,10140,10,S
223,10171,10186,15,W
225,10224,10224,0,E
224,10200,10246,46,N
226,10340,10340,0,W
227,10435,10436,1,E
228,10476,10476,0,S
229,10509,10510,1,W
230,10515,10560,45,N
231,10646,10646,0,E
232,10678,10710,32,W
235,10847,10848,1,W
236,10857,10858,1,E
234,10830,10876,46,N
233,10822,10876,54,S
237,10986,11026,40,W
238,11031,11032,1,E
239,11090,11090,0,N
240,11107,11108,1,S
241,11125,11130,5,W
242,11205,11236,31,E
243,11264,11264,0,W
245,11379,11380,1,E
244,11350,11400,50,N
246,11392,11400,8,S
247,11403,11446,43,W
248,11542,11550,8,W
249,11553,11554,1,E
250,11610,11610,0,N
252,11681,11682,1,W
251,11677,11716,39,S
253,11727,11760,33,E
254,11820,11866,46,W
256,11901,11902,1,E
255,11870,11926,56,N
258,11962,11962,0,S
257,11959,11970,11,W
259,12075,12076,1,E
260,12098,12098,0,W
261,12130,12136,6,N
262,12237,12238,1,W
263,12247,12248,1,S
264,12249,12286,37,E
265,12376,12390,14,W
267,12423,12424,1,E
266,12390,12450,60,N
268,12515,12516,1,W
269,12532,12556,24,S
270,12597,12600,3,E
272,12654,12654,0,W
271,12650,12660,10,N
273,12771,12810,39,E
274,12793,12810,17,W
275,12817,12870,53,S
276,12910,12910,0,N
277,12932,12932,0,W
278,12945,12946,1,E
279,13071,13072,1,W
280,13102,13102,0,S
281,13119,13126,7,E
282,13170,13186,16,N
283,13210,13230,20,W
284,13293,13336,43,E
285,13349,13350,1,W
286,13387,13396,9,S
287,13430,13430,0,N
288,13467,13468,1,E
289,13488,13488,0,W
291,13641,13650,9,E
290,13627,13650,23,W
293,13690,13710,20,N
292,13672,13710,38,S
294,13766,13766,0,W
295,13815,13860,45,E
296,13905,13906,1,W
297,13950,13950,0,N
298,13957,13958,1,S
299,13989,13990,1,E
300,14044,14070,26,W
301,14163,14176,13,E
302,14183,14184,1,W
303,14210,14236,26,N
304,14242,14242,0,S
305,14322,14322,0,W
306,14337,14338,1,E
308,14470,14470,0,N
307,14461,14490,29,W
309,14511,14512,1,E
311,14541,14542,1,W
310,14527,14550,23,S
312,14611,14612,1,E
314,14621,14622,1,W
313,14620,14656,36,N
315,14691,14692,1,S
316,14701,14702,1,W
317,14711,14712,1,E
318,14770,14770,0,N
319,14781,14806,25,W
320,14811,14812,1,E
322,14861,14862,1,W
321,14855,14866,11,S
323,14911,14912,1,E
325,14941,14942,1,W
324,14920,14970,50,N
